miRNA,freq,picked_by
hsa-mir-323b,1,KM
hsa-mir-324,1,GMM
hsa-mir-326,1,GMM
hsa-mir-328,1,GMM
hsa-mir-330,1,GMM
hsa-mir-331,1,GMM
hsa-mir-339,1,GMM
hsa-mir-33a,1,GMM
hsa-mir-33b,1,GMM
hsa-mir-340,1,GMM
hsa-mir-345,1,GMM
hsa-mir-34a,1,GMM
hsa-mir-3605,1,GMM
hsa-mir-3607,1,GMM
hsa-mir-361,1,GMM
hsa-mir-3610,1,GMM
hsa-mir-3613,1,GMM
hsa-mir-3614,1,GMM
hsa-mir-3615,1,GMM
hsa-mir-3616,1,GMM
hsa-mir-3618,1,GMM
hsa-mir-3619,1,GMM
hsa-mir-362,1,GMM
hsa-mir-3620,1,GMM
hsa-mir-3622a,1,GMM
hsa-mir-363,1,GMM
hsa-mir-3653,1,GMM
hsa-mir-3654,1,GMM
hsa-mir-3662,1,GMM
hsa-mir-3664,1,GMM
hsa-mir-3667,1,GMM
hsa-mir-3677,1,GMM
hsa-mir-3679,1,GMM
hsa-mir-3680-1,1,GMM
hsa-mir-3680-2,1,GMM
hsa-mir-3682,1,GMM
hsa-mir-3684,1,GMM
hsa-mir-3690-1,1,GMM
hsa-mir-3691,1,GMM
hsa-mir-374a,1,GMM
hsa-mir-374b,1,GMM
hsa-mir-3909,1,GMM
hsa-mir-3911,1,GMM
hsa-mir-3917,1,GMM
hsa-mir-3921,1,SC
hsa-mir-3922,1,GMM
hsa-mir-3925,1,GMM
hsa-mir-3928,1,GMM
hsa-mir-3929,1,GMM
hsa-mir-3934,1,GMM
hsa-mir-3939,1,GMM
hsa-mir-3940,1,GMM
hsa-mir-3941,1,GMM
hsa-mir-3942,1,GMM
hsa-mir-3944,1,GMM
hsa-mir-3945,1,GMM
hsa-mir-421,1,GMM
hsa-mir-423,1,GMM
hsa-mir-424,1,GMM
hsa-mir-425,1,GMM
hsa-mir-4286,1,KM
hsa-mir-429,1,GMM
hsa-mir-4326,1,GMM
hsa-mir-4426,1,GMM
hsa-mir-4431,1,GMM
hsa-mir-4433a,1,GMM
hsa-mir-4434,1,GMM
hsa-mir-4435-1,1,GMM
hsa-mir-4443,1,GMM
hsa-mir-4444-1,1,GMM
hsa-mir-4444-2,1,GMM
hsa-mir-4446,1,GMM
hsa-mir-4448,1,GMM
hsa-mir-4453,1,GMM
hsa-mir-4469,1,GMM
hsa-mir-4473,1,GMM
hsa-mir-4479,1,GMM
hsa-mir-4492,1,GMM
hsa-mir-4511,1,GMM
hsa-mir-4515,1,GMM
hsa-mir-4521,1,GMM
hsa-mir-4522,1,GMM
hsa-mir-4523,1,GMM
hsa-mir-4525,1,GMM
hsa-mir-4533,1,GMM
hsa-mir-454,1,GMM
hsa-mir-455,1,GMM
hsa-mir-4638,1,GMM
hsa-mir-4640,1,GMM
hsa-mir-4645,1,GMM
hsa-mir-4646,1,GMM
hsa-mir-4650-2,1,SC
hsa-mir-4652,1,GMM
hsa-mir-4653,1,GMM
hsa-mir-4654,1,GMM
hsa-mir-4658,1,GMM
hsa-mir-4659a,1,GMM
hsa-mir-4660,1,GMM
hsa-mir-4661,1,GMM
hsa-mir-4664,1,GMM
hsa-mir-4665,1,GMM
hsa-mir-4668,1,GMM
hsa-mir-4671,1,GMM
hsa-mir-4673,1,GMM
hsa-mir-4674,1,GMM
hsa-mir-4677,1,GMM
hsa-mir-4685,1,GMM
hsa-mir-4690,1,GMM
hsa-mir-4691,1,GMM
hsa-mir-4706,1,GMM
hsa-mir-4707,1,GMM
hsa-mir-4724,1,GMM
hsa-mir-4725,1,GMM
hsa-mir-4726,1,GMM
hsa-mir-4730,1,GMM
hsa-mir-4731,1,SC
hsa-mir-4736,1,GMM
hsa-mir-4738,1,GMM
hsa-mir-4741,1,GMM
hsa-mir-4742,1,GMM
hsa-mir-4744,1,GMM
hsa-mir-4745,1,GMM
hsa-mir-4746,1,GMM
hsa-mir-4749,1,GMM
hsa-mir-4753,1,GMM
hsa-mir-4754,1,GMM
hsa-mir-4755,1,GMM
hsa-mir-4757,1,SC
hsa-mir-4758,1,GMM
hsa-mir-4762,1,GMM
hsa-mir-4763,1,GMM
hsa-mir-4766,1,GMM
hsa-mir-4771-2,1,GMM
hsa-mir-4772,1,GMM
hsa-mir-4773-1,1,GMM
hsa-mir-4775,1,GMM
hsa-mir-4780,1,GMM
hsa-mir-4781,1,GMM
hsa-mir-4782,1,GMM
hsa-mir-4785,1,GMM
hsa-mir-4786,1,GMM
hsa-mir-4787,1,GMM
hsa-mir-4789,1,GMM
hsa-mir-4791,1,GMM
hsa-mir-4793,1,GMM
hsa-mir-4794,1,GMM
hsa-mir-4797,1,GMM
hsa-mir-4802,1,GMM
hsa-mir-484,1,GMM
hsa-mir-491,1,GMM
hsa-mir-498,1,SC
hsa-mir-4999,1,GMM
hsa-mir-499b,1,GMM
hsa-mir-5000,1,GMM
hsa-mir-5001,1,GMM
hsa-mir-5002,1,GMM
hsa-mir-5003,1,GMM
hsa-mir-5004,1,SC
hsa-mir-5008,1,GMM
hsa-mir-500a,1,GMM
hsa-mir-500b,1,GMM
hsa-mir-501,1,GMM
hsa-mir-502,1,GMM
hsa-mir-503,1,GMM
hsa-mir-504,1,GMM
hsa-mir-505,1,GMM
hsa-mir-5090,1,GMM
hsa-mir-5092,1,GMM
hsa-mir-5094,1,GMM
hsa-mir-516a-1,1,GMM
hsa-mir-516a-2,1,GMM
hsa-mir-5187,1,GMM
hsa-mir-518d,1,SC
hsa-mir-526a-2,1,SC
hsa-mir-532,1,GMM
hsa-mir-539,1,KM
hsa-mir-545,1,GMM
hsa-mir-548a-3,1,GMM
hsa-mir-548ag-2,1,GMM
hsa-mir-548ai,1,GMM
hsa-mir-548ao,1,GMM
hsa-mir-548au,1,GMM
hsa-mir-548ay,1,GMM
hsa-mir-548b,1,GMM
hsa-mir-548d-1,1,GMM
hsa-mir-548d-2,1,GMM
hsa-mir-548e,1,GMM
hsa-mir-548f-1,1,GMM
hsa-mir-548k,1,GMM
hsa-mir-548l,1,GMM
hsa-mir-548o,1,GMM
hsa-mir-548o-2,1,GMM
