miRNA,freq,picked_by
hsa-mir-3139,2,"GMM,KM"
hsa-mir-3140,2,"GMM,KM"
hsa-mir-3142,2,"GMM,KM"
hsa-mir-3143,2,"GMM,KM"
hsa-mir-3145,2,"GMM,KM"
hsa-mir-3149,2,"GMM,KM"
hsa-mir-3150a,2,"GMM,KM"
hsa-mir-3150b,2,"GMM,KM"
hsa-mir-3154,2,"HC,SC"
hsa-mir-3155a,2,"GMM,KM"
hsa-mir-3157,2,"GMM,KM"
hsa-mir-3158-1,2,"GMM,KM"
hsa-mir-3158-2,2,"GMM,KM"
hsa-mir-3161,2,"GMM,KM"
hsa-mir-3164,2,"GMM,KM"
hsa-mir-3170,2,"GMM,KM"
hsa-mir-3173,2,"GMM,KM"
hsa-mir-3174,2,"GMM,KM"
hsa-mir-3176,2,"GMM,KM"
hsa-mir-3182,2,"GMM,KM"
hsa-mir-3186,2,"GMM,KM"
hsa-mir-3187,2,"GMM,KM"
hsa-mir-3188,2,"GMM,KM"
hsa-mir-3191,2,"GMM,KM"
hsa-mir-3194,2,"GMM,KM"
hsa-mir-3198-1,2,"GMM,KM"
hsa-mir-3198-2,2,"GMM,KM"
hsa-mir-32,2,"GMM,KM"
hsa-mir-3200,2,"GMM,KM"
hsa-mir-320b-1,2,"GMM,KM"
hsa-mir-320b-2,2,"GMM,KM"
hsa-mir-320c-2,2,"GMM,KM"
hsa-mir-323a,2,"HC,SC"
hsa-mir-323b,2,"HC,SC"
hsa-mir-324,2,"GMM,KM"
hsa-mir-328,2,"GMM,KM"
hsa-mir-329-1,2,"HC,SC"
hsa-mir-329-2,2,"HC,SC"
hsa-mir-330,2,"GMM,KM"
hsa-mir-331,2,"GMM,KM"
hsa-mir-337,2,"HC,SC"
hsa-mir-339,2,"GMM,KM"
hsa-mir-33a,2,"GMM,KM"
hsa-mir-33b,2,"GMM,KM"
hsa-mir-340,2,"GMM,KM"
hsa-mir-345,2,"GMM,KM"
hsa-mir-34a,2,"GMM,KM"
hsa-mir-3605,2,"GMM,KM"
hsa-mir-3607,2,"GMM,KM"
hsa-mir-361,2,"GMM,KM"
hsa-mir-3610,2,"GMM,KM"
hsa-mir-3611,2,"GMM,KM"
hsa-mir-3613,2,"GMM,KM"
hsa-mir-3614,2,"GMM,KM"
hsa-mir-3615,2,"GMM,KM"
hsa-mir-3616,2,"GMM,KM"
hsa-mir-3618,2,"GMM,KM"
hsa-mir-3619,2,"GMM,KM"
hsa-mir-362,2,"GMM,KM"
hsa-mir-3620,2,"GMM,KM"
hsa-mir-3651,2,"GMM,KM"
hsa-mir-3652,2,"GMM,KM"
hsa-mir-3653,2,"GMM,KM"
hsa-mir-3654,2,"GMM,KM"
hsa-mir-3655,2,"GMM,KM"
hsa-mir-3662,2,"GMM,KM"
hsa-mir-3664,2,"GMM,KM"
hsa-mir-3667,2,"GMM,KM"
hsa-mir-3677,2,"GMM,KM"
hsa-mir-3679,2,"GMM,KM"
hsa-mir-3680-1,2,"GMM,KM"
hsa-mir-3680-2,2,"GMM,KM"
hsa-mir-3682,2,"GMM,KM"
hsa-mir-3684,2,"GMM,KM"
hsa-mir-369,2,"HC,SC"
hsa-mir-3691,2,"GMM,KM"
hsa-mir-370,2,"HC,SC"
hsa-mir-374a,2,"GMM,KM"
hsa-mir-374b,2,"GMM,KM"
hsa-mir-376a-1,2,"HC,SC"
hsa-mir-376a-2,2,"HC,SC"
hsa-mir-376b,2,"HC,SC"
hsa-mir-376c,2,"HC,SC"
hsa-mir-377,2,"HC,SC"
hsa-mir-379,2,"HC,SC"
hsa-mir-380,2,"HC,SC"
hsa-mir-381,2,"HC,SC"
hsa-mir-382,2,"HC,SC"
hsa-mir-383,2,"HC,SC"
hsa-mir-3909,2,"GMM,KM"
hsa-mir-3911,2,"GMM,KM"
hsa-mir-3917,2,"GMM,KM"
hsa-mir-3922,2,"GMM,KM"
hsa-mir-3927,2,"GMM,KM"
hsa-mir-3928,2,"GMM,KM"
hsa-mir-3929,2,"GMM,KM"
hsa-mir-3934,2,"GMM,KM"
hsa-mir-3937,2,"GMM,KM"
hsa-mir-3939,2,"GMM,KM"
hsa-mir-3940,2,"GMM,KM"
hsa-mir-3941,2,"GMM,KM"
hsa-mir-3942,2,"GMM,KM"
hsa-mir-3944,2,"GMM,KM"
hsa-mir-409,2,"HC,SC"
hsa-mir-410,2,"HC,SC"
hsa-mir-411,2,"HC,SC"
hsa-mir-412,2,"HC,SC"
hsa-mir-421,2,"GMM,KM"
hsa-mir-423,2,"GMM,KM"
hsa-mir-425,2,"GMM,KM"
hsa-mir-4286,2,"GMM,KM"
hsa-mir-429,2,"GMM,KM"
hsa-mir-431,2,"HC,SC"
hsa-mir-432,2,"HC,SC"
hsa-mir-4326,2,"GMM,KM"
hsa-mir-433,2,"HC,SC"
hsa-mir-4422,2,"GMM,KM"
hsa-mir-4431,2,"GMM,KM"
hsa-mir-4435-1,2,"GMM,KM"
hsa-mir-4443,2,"GMM,KM"
hsa-mir-4444-1,2,"GMM,KM"
hsa-mir-4444-2,2,"GMM,KM"
hsa-mir-4446,2,"GMM,KM"
hsa-mir-4449,2,"GMM,KM"
hsa-mir-4453,2,"GMM,KM"
hsa-mir-4469,2,"GMM,KM"
hsa-mir-4478,2,"GMM,KM"
hsa-mir-4480,2,"GMM,KM"
hsa-mir-4498,2,"GMM,KM"
hsa-mir-4504,2,"GMM,KM"
hsa-mir-4511,2,"GMM,KM"
hsa-mir-4517,2,"GMM,KM"
hsa-mir-4518,2,"GMM,KM"
hsa-mir-452,2,"GMM,KM"
hsa-mir-4521,2,"GMM,KM"
hsa-mir-4522,2,"GMM,KM"
hsa-mir-4525,2,"GMM,KM"
hsa-mir-454,2,"GMM,KM"
hsa-mir-455,2,"GMM,KM"
hsa-mir-4638,2,"GMM,KM"
hsa-mir-4640,2,"GMM,KM"
hsa-mir-4641,2,"GMM,KM"
hsa-mir-4645,2,"GMM,KM"
hsa-mir-4652,2,"GMM,KM"
hsa-mir-4658,2,"GMM,KM"
hsa-mir-4659a,2,"GMM,KM"
hsa-mir-4660,2,"GMM,KM"
hsa-mir-4661,2,"GMM,KM"
hsa-mir-4662a,2,"GMM,KM"
hsa-mir-4664,2,"GMM,KM"
hsa-mir-4665,2,"GMM,KM"
hsa-mir-4668,2,"GMM,KM"
hsa-mir-4669,2,"GMM,KM"
hsa-mir-4671,2,"GMM,KM"
hsa-mir-4673,2,"GMM,KM"
hsa-mir-4674,2,"GMM,KM"
hsa-mir-4677,2,"GMM,KM"
hsa-mir-4685,2,"GMM,KM"
hsa-mir-4688,2,"GMM,KM"
hsa-mir-4690,2,"GMM,KM"
hsa-mir-4691,2,"GMM,KM"
hsa-mir-4707,2,"GMM,KM"
hsa-mir-4723,2,"GMM,KM"
hsa-mir-4724,2,"GMM,KM"
hsa-mir-4725,2,"GMM,KM"
hsa-mir-4730,2,"GMM,KM"
hsa-mir-4738,2,"GMM,KM"
hsa-mir-4741,2,"GMM,KM"
hsa-mir-4742,2,"GMM,KM"
hsa-mir-4743,2,"GMM,KM"
hsa-mir-4745,2,"GMM,KM"
hsa-mir-4746,2,"GMM,KM"
hsa-mir-4749,2,"GMM,KM"
hsa-mir-4753,2,"GMM,KM"
hsa-mir-4754,2,"GMM,KM"
hsa-mir-4755,2,"GMM,KM"
hsa-mir-4758,2,"GMM,KM"
hsa-mir-4763,2,"GMM,KM"
hsa-mir-4766,2,"GMM,KM"
hsa-mir-4771-1,2,"GMM,KM"
hsa-mir-4771-2,2,"GMM,KM"
hsa-mir-4772,2,"GMM,KM"
hsa-mir-4773-1,2,"GMM,KM"
hsa-mir-4782,2,"GMM,KM"
hsa-mir-4784,2,"GMM,KM"
hsa-mir-4785,2,"GMM,KM"
hsa-mir-4786,2,"GMM,KM"
hsa-mir-4787,2,"GMM,KM"
hsa-mir-4788,2,"GMM,KM"
hsa-mir-4791,2,"GMM,KM"
hsa-mir-4793,2,"GMM,KM"
hsa-mir-4794,2,"GMM,KM"
