miRNA,freq,picked_by
hsa-mir-2110,2,"GMM,KM"
hsa-mir-2113,2,"GMM,KM"
hsa-mir-2116,2,"GMM,KM"
hsa-mir-215,2,"GMM,KM"
hsa-mir-219a-1,2,"GMM,KM"
hsa-mir-219b,2,"GMM,KM"
hsa-mir-222,2,"GMM,KM"
hsa-mir-223,2,"GMM,KM"
hsa-mir-224,2,"GMM,KM"
hsa-mir-2276,2,"GMM,KM"
hsa-mir-2277,2,"GMM,KM"
hsa-mir-2355,2,"GMM,KM"
hsa-mir-23a,2,"GMM,KM"
hsa-mir-23b,2,"GMM,KM"
hsa-mir-24-1,2,"GMM,KM"
hsa-mir-24-2,2,"GMM,KM"
hsa-mir-25,2,"GMM,KM"
hsa-mir-27a,2,"GMM,KM"
hsa-mir-29b-1,2,"GMM,KM"
hsa-mir-29b-2,2,"GMM,KM"
hsa-mir-301a,2,"GMM,KM"
hsa-mir-301b,2,"GMM,KM"
hsa-mir-302b,2,"GMM,KM"
hsa-mir-302c,2,"GMM,KM"
hsa-mir-3064,2,"GMM,KM"
hsa-mir-3074,2,"GMM,KM"
hsa-mir-30b,2,"GMM,KM"
hsa-mir-30e,2,"GMM,KM"
hsa-mir-3115,2,"GMM,KM"
hsa-mir-3116-2,2,"GMM,KM"
hsa-mir-3117,2,"GMM,KM"
hsa-mir-3127,2,"GMM,KM"
hsa-mir-3130-1,2,"GMM,KM"
hsa-mir-3130-2,2,"GMM,KM"
hsa-mir-3132,2,"GMM,KM"
hsa-mir-3133,2,"GMM,KM"
hsa-mir-3136,2,"GMM,KM"
hsa-mir-3137,2,"GMM,KM"
hsa-mir-3138,2,"GMM,KM"
hsa-mir-3140,2,"GMM,KM"
hsa-mir-3145,2,"GMM,KM"
hsa-mir-3149,2,"GMM,KM"
hsa-mir-3150a,2,"GMM,KM"
hsa-mir-3150b,2,"GMM,KM"
hsa-mir-3155a,2,"GMM,KM"
hsa-mir-3157,2,"GMM,KM"
hsa-mir-3160-1,2,"GMM,KM"
hsa-mir-3161,2,"GMM,KM"
hsa-mir-3162,2,"GMM,KM"
hsa-mir-3164,2,"GMM,KM"
hsa-mir-3170,2,"GMM,KM"
hsa-mir-3173,2,"GMM,KM"
hsa-mir-3174,2,"GMM,KM"
hsa-mir-3176,2,"GMM,KM"
hsa-mir-3177,2,"GMM,KM"
hsa-mir-3187,2,"GMM,KM"
hsa-mir-3188,2,"GMM,KM"
hsa-mir-3190,2,"GMM,KM"
hsa-mir-3191,2,"GMM,KM"
hsa-mir-3194,2,"GMM,KM"
hsa-mir-3196,2,"GMM,KM"
hsa-mir-3198-2,2,"GMM,KM"
hsa-mir-32,2,"GMM,KM"
hsa-mir-3200,2,"GMM,KM"
hsa-mir-320b-1,2,"GMM,KM"
hsa-mir-320b-2,2,"GMM,KM"
hsa-mir-320c-2,2,"GMM,KM"
hsa-mir-320d-1,2,"GMM,SC"
hsa-mir-320d-2,2,"GMM,SC"
hsa-mir-320e,2,"GMM,SC"
hsa-mir-324,2,"GMM,KM"
hsa-mir-326,2,"GMM,KM"
hsa-mir-328,2,"GMM,KM"
hsa-mir-330,2,"GMM,KM"
hsa-mir-331,2,"GMM,KM"
hsa-mir-339,2,"GMM,KM"
hsa-mir-33a,2,"GMM,KM"
hsa-mir-33b,2,"GMM,KM"
hsa-mir-340,2,"GMM,KM"
hsa-mir-345,2,"GMM,KM"
hsa-mir-34a,2,"GMM,KM"
hsa-mir-3605,2,"GMM,KM"
hsa-mir-3607,2,"GMM,KM"
hsa-mir-3611,2,"GMM,KM"
hsa-mir-3613,2,"GMM,KM"
hsa-mir-3614,2,"GMM,KM"
hsa-mir-3615,2,"GMM,KM"
hsa-mir-3616,2,"GMM,KM"
hsa-mir-3618,2,"GMM,KM"
hsa-mir-3619,2,"GMM,KM"
hsa-mir-362,2,"GMM,KM"
hsa-mir-3620,2,"GMM,KM"
hsa-mir-3651,2,"GMM,KM"
hsa-mir-3652,2,"GMM,KM"
hsa-mir-3653,2,"GMM,KM"
hsa-mir-3654,2,"GMM,KM"
hsa-mir-3662,2,"GMM,KM"
hsa-mir-3663,2,"GMM,KM"
hsa-mir-3664,2,"GMM,KM"
hsa-mir-3667,2,"GMM,KM"
hsa-mir-3677,2,"GMM,KM"
hsa-mir-3679,2,"GMM,KM"
hsa-mir-3680-1,2,"GMM,KM"
hsa-mir-3680-2,2,"GMM,KM"
hsa-mir-3682,2,"GMM,KM"
hsa-mir-3684,2,"GMM,KM"
hsa-mir-3690-1,2,"GMM,KM"
hsa-mir-3691,2,"GMM,KM"
hsa-mir-374b,2,"GMM,KM"
hsa-mir-3909,2,"GMM,KM"
hsa-mir-3911,2,"GMM,KM"
hsa-mir-3917,2,"GMM,KM"
hsa-mir-3922,2,"GMM,KM"
hsa-mir-3925,2,"GMM,SC"
hsa-mir-3928,2,"GMM,KM"
hsa-mir-3929,2,"GMM,KM"
hsa-mir-3934,2,"GMM,KM"
hsa-mir-3937,2,"GMM,KM"
hsa-mir-3938,2,"GMM,KM"
hsa-mir-3939,2,"GMM,KM"
hsa-mir-3940,2,"GMM,KM"
hsa-mir-3941,2,"GMM,KM"
hsa-mir-3942,2,"GMM,KM"
hsa-mir-3944,2,"GMM,KM"
hsa-mir-421,2,"GMM,KM"
hsa-mir-423,2,"GMM,KM"
hsa-mir-425,2,"GMM,KM"
hsa-mir-4286,2,"GMM,KM"
hsa-mir-429,2,"GMM,KM"
hsa-mir-4321,2,"GMM,KM"
hsa-mir-4326,2,"GMM,KM"
hsa-mir-4427,2,"GMM,KM"
hsa-mir-4435-1,2,"GMM,KM"
hsa-mir-4436b-2,2,"GMM,KM"
hsa-mir-4443,2,"GMM,KM"
hsa-mir-4444-1,2,"GMM,KM"
hsa-mir-4444-2,2,"GMM,KM"
hsa-mir-4445,2,"GMM,KM"
hsa-mir-4446,2,"GMM,KM"
hsa-mir-4449,2,"GMM,KM"
hsa-mir-4453,2,"GMM,KM"
hsa-mir-4461,2,"GMM,KM"
hsa-mir-4469,2,"GMM,KM"
hsa-mir-4473,2,"GMM,KM"
hsa-mir-4479,2,"GMM,KM"
hsa-mir-4482,2,"GMM,KM"
hsa-mir-4494,2,"GMM,KM"
hsa-mir-4516,2,"GMM,KM"
hsa-mir-452,2,"GMM,KM"
hsa-mir-4521,2,"GMM,KM"
hsa-mir-4522,2,"GMM,KM"
hsa-mir-4525,2,"GMM,KM"
hsa-mir-454,2,"GMM,KM"
hsa-mir-455,2,"GMM,KM"
hsa-mir-4638,2,"GMM,KM"
hsa-mir-4640,2,"GMM,KM"
hsa-mir-4645,2,"GMM,KM"
hsa-mir-4652,2,"GMM,KM"
hsa-mir-4653,2,"GMM,KM"
hsa-mir-4658,2,"GMM,KM"
hsa-mir-4659a,2,"GMM,KM"
hsa-mir-4660,2,"GMM,KM"
hsa-mir-4661,2,"GMM,KM"
hsa-mir-4662a,2,"GMM,KM"
hsa-mir-4664,2,"GMM,KM"
hsa-mir-4665,2,"GMM,KM"
hsa-mir-4668,2,"GMM,KM"
hsa-mir-4669,2,"GMM,KM"
hsa-mir-4671,2,"GMM,KM"
hsa-mir-4673,2,"GMM,KM"
hsa-mir-4674,2,"GMM,KM"
hsa-mir-4677,2,"GMM,KM"
hsa-mir-4684,2,"GMM,KM"
hsa-mir-4685,2,"GMM,KM"
hsa-mir-4687,2,"GMM,KM"
hsa-mir-4689,2,"GMM,KM"
hsa-mir-4691,2,"GMM,KM"
hsa-mir-4696,2,"GMM,KM"
hsa-mir-4707,2,"GMM,KM"
hsa-mir-4721,2,"GMM,KM"
hsa-mir-4724,2,"GMM,KM"
hsa-mir-4725,2,"GMM,KM"
hsa-mir-4726,2,"GMM,KM"
hsa-mir-4730,2,"GMM,KM"
hsa-mir-4738,2,"GMM,KM"
hsa-mir-4741,2,"GMM,KM"
hsa-mir-4742,2,"GMM,KM"
hsa-mir-4745,2,"GMM,KM"
hsa-mir-4746,2,"GMM,KM"
hsa-mir-4748,2,"GMM,KM"
hsa-mir-4749,2,"GMM,KM"
hsa-mir-4753,2,"GMM,KM"
hsa-mir-4755,2,"GMM,KM"
hsa-mir-4758,2,"GMM,KM"
hsa-mir-4762,2,"GMM,KM"
hsa-mir-4763,2,"GMM,KM"
hsa-mir-4766,2,"GMM,KM"
hsa-mir-4771-2,2,"GMM,KM"
hsa-mir-4772,2,"GMM,KM"
hsa-mir-4773-1,2,"GMM,KM"
hsa-mir-4779,2,"GMM,KM"
hsa-mir-4780,2,"GMM,KM"
hsa-mir-4782,2,"GMM,KM"
hsa-mir-4783,2,"GMM,KM"
hsa-mir-4785,2,"GMM,KM"
hsa-mir-4786,2,"GMM,KM"
hsa-mir-4787,2,"GMM,KM"
hsa-mir-4788,2,"GMM,KM"
hsa-mir-4789,2,"GMM,KM"
hsa-mir-4791,2,"GMM,KM"
hsa-mir-4793,2,"GMM,KM"
hsa-mir-4794,2,"GMM,KM"
hsa-mir-4797,2,"GMM,KM"
hsa-mir-4802,2,"GMM,KM"
hsa-mir-484,2,"GMM,KM"
hsa-mir-491,2,"GMM,KM"
hsa-mir-492,2,"GMM,KM"
hsa-mir-4999,2,"GMM,KM"
hsa-mir-499b,2,"GMM,KM"
hsa-mir-5000,2,"GMM,KM"
hsa-mir-5001,2,"GMM,KM"
hsa-mir-5002,2,"GMM,KM"
hsa-mir-5003,2,"GMM,KM"
hsa-mir-5008,2,"GMM,KM"
hsa-mir-500a,2,"GMM,KM"
hsa-mir-500b,2,"GMM,KM"
hsa-mir-501,2,"GMM,KM"
hsa-mir-502,2,"GMM,KM"
hsa-mir-504,2,"GMM,KM"
hsa-mir-505,2,"GMM,KM"
hsa-mir-5087,2,"GMM,KM"
hsa-mir-5092,2,"GMM,KM"
hsa-mir-5094,2,"GMM,KM"
hsa-mir-5187,2,"GMM,KM"
hsa-mir-5194,2,"GMM,KM"
hsa-mir-519a-1,2,"GMM,KM"
hsa-mir-526a-1,2,"HC,SC"
hsa-mir-532,2,"GMM,KM"
hsa-mir-545,2,"GMM,KM"
hsa-mir-548a-3,2,"GMM,KM"
hsa-mir-548ag-2,2,"GMM,KM"
hsa-mir-548ai,2,"GMM,KM"
hsa-mir-548al,2,"GMM,KM"
hsa-mir-548ao,2,"GMM,KM"
hsa-mir-548au,2,"GMM,KM"
hsa-mir-548b,2,"GMM,KM"
hsa-mir-548d-1,2,"GMM,KM"
hsa-mir-548d-2,2,"GMM,KM"
hsa-mir-548e,2,"GMM,KM"
hsa-mir-548k,2,"GMM,KM"
hsa-mir-548l,2,"GMM,KM"
hsa-mir-548o,2,"GMM,KM"
hsa-mir-548o-2,2,"GMM,KM"
hsa-mir-548s,2,"GMM,KM"
hsa-mir-548v,2,"GMM,KM"
hsa-mir-550a-1,2,"GMM,KM"
hsa-mir-550a-2,2,"GMM,KM"
hsa-mir-550a-3,2,"GMM,KM"
hsa-mir-551a,2,"GMM,KM"
hsa-mir-556,2,"GMM,KM"
hsa-mir-5571,2,"GMM,KM"
hsa-mir-5581,2,"GMM,KM"
hsa-mir-5582,2,"GMM,KM"
hsa-mir-5586,2,"GMM,KM"
hsa-mir-5589,2,"GMM,KM"
hsa-mir-559,2,"GMM,KM"
hsa-mir-564,2,"GMM,KM"
hsa-mir-5684,2,"GMM,KM"
hsa-mir-5690,2,"GMM,KM"
hsa-mir-5695,2,"GMM,KM"
hsa-mir-5696,2,"GMM,KM"
hsa-mir-5698,2,"GMM,KM"
hsa-mir-5699,2,"GMM,KM"
hsa-mir-570,2,"GMM,KM"
hsa-mir-5706,2,"GMM,KM"
hsa-mir-572,2,"GMM,KM"
hsa-mir-573,2,"GMM,KM"
hsa-mir-574,2,"GMM,KM"
hsa-mir-576,2,"GMM,KM"
hsa-mir-577,2,"GMM,KM"
hsa-mir-579,2,"GMM,KM"
hsa-mir-580,2,"GMM,KM"
hsa-mir-582,2,"GMM,KM"
hsa-mir-584,2,"GMM,KM"
hsa-mir-588,2,"GMM,KM"
hsa-mir-589,2,"GMM,KM"
hsa-mir-590,2,"GMM,KM"
hsa-mir-592,2,"GMM,KM"
hsa-mir-597,2,"GMM,KM"
hsa-mir-6084,2,"GMM,KM"
hsa-mir-6087,2,"GMM,KM"
hsa-mir-615,2,"GMM,KM"
hsa-mir-616,2,"GMM,KM"
hsa-mir-622,2,"GMM,KM"
hsa-mir-624,2,"GMM,KM"
hsa-mir-627,2,"GMM,KM"
hsa-mir-628,2,"GMM,KM"
hsa-mir-629,2,"GMM,KM"
hsa-mir-631,2,"GMM,KM"
hsa-mir-636,2,"GMM,KM"
hsa-mir-639,2,"GMM,KM"
hsa-mir-641,2,"GMM,KM"
hsa-mir-642a,2,"GMM,KM"
hsa-mir-643,2,"GMM,KM"
hsa-mir-647,2,"GMM,KM"
hsa-mir-6499,2,"GMM,KM"
hsa-mir-6501,2,"GMM,KM"
