miRNA,abs_coef
hsa-mir-7111,0.42482853499203954
hsa-mir-744,0.37709461634253627
hsa-mir-598,0.3327251339855905
hsa-mir-3917,0.2888735674842992
hsa-mir-5703,0.26032190651510767
hsa-mir-5697,0.24064632590234591
hsa-mir-3654,0.23677819715186826
hsa-mir-7704,0.23168777908218707
hsa-mir-383,0.21204947540254435
hsa-mir-4770,0.20887774411521726
hsa-mir-6768,0.2051079587932771
hsa-mir-4707,0.20230801088339412
hsa-mir-6740,0.19179906668518568
hsa-mir-6837,0.18947673892337605
hsa-mir-6838,0.18890731612297298
hsa-mir-1237,0.18829191201975268
hsa-mir-200b,0.18690834521070995
hsa-mir-197,0.1825504124610581
hsa-mir-877,0.18078110156358465
hsa-mir-623,0.1640440355391244
hsa-mir-4722,0.1604333718540588
hsa-mir-4784,0.15149938816038286
hsa-mir-3160-2,0.14545196227522805
hsa-mir-4315-1,0.14539514302133924
hsa-mir-4526,0.1447531788667971
hsa-mir-3165,0.1432641798588629
hsa-mir-153-1,0.14298630040203483
hsa-mir-7974,0.1428423193926982
hsa-mir-4667,0.1368643127591956
hsa-mir-4635,0.13479626828652602
hsa-mir-3158-2,0.12472861881095092
hsa-mir-548x,0.12377553115724325
hsa-mir-3683,0.11485106016334902
hsa-mir-548a-3,0.11455182138068096
hsa-mir-548ac,0.1135296931926605
hsa-mir-4652,0.11260868242435912
hsa-mir-3180-4,0.11143058021758291
hsa-mir-186,0.11127839799863683
hsa-mir-603,0.11009495003321461
hsa-mir-892b,0.10643872099733298
hsa-mir-581,0.10634062433835033
hsa-mir-7852,0.10535352029104986
hsa-mir-4776-1,0.10528351849698933
hsa-mir-5196,0.10257709221507962
hsa-mir-3679,0.10102421138842606
hsa-mir-6802,0.1008108696479995
hsa-mir-548e,0.10013581368376014
hsa-mir-4666a,0.09917114355422615
hsa-mir-516b-1,0.09817496547208424
hsa-mir-3124,0.0965240917021651
hsa-mir-4653,0.09501275307466267
hsa-mir-4747,0.09450640845962124
hsa-mir-548j,0.09182921857261822
hsa-mir-3677,0.09065165596139263
hsa-mir-4286,0.08978795327373533
hsa-mir-5000,0.08823793504089869
hsa-mir-1273c,0.08465531657217519
hsa-mir-448,0.08432464608190289
hsa-mir-6888,0.08317921797261361
hsa-mir-6745,0.08101314325046288
hsa-mir-4489,0.07500606620486759
hsa-mir-4791,0.07329187369626018
hsa-mir-196a-2,0.07286012162918361
hsa-mir-6775,0.07150040148401286
hsa-mir-664b,0.06572584490782664
hsa-mir-1236,0.0649900522524156
hsa-mir-433,0.06470534282780088
hsa-mir-4443,0.06348021089664431
hsa-mir-6770-2,0.06185300416264063
hsa-mir-3927,0.06113086742630973
hsa-mir-892a,0.059783132539175735
hsa-mir-30e,0.0597665041955898
hsa-mir-519c,0.058916643614286925
hsa-mir-6836,0.058253175281375955
hsa-mir-492,0.057561084129666214
hsa-mir-192,0.05693524501759653
hsa-mir-4645,0.055546724824260305
hsa-mir-4649,0.05258983515004131
hsa-mir-3606,0.05100864894750341
hsa-mir-6735,0.045352381288058345
hsa-mir-942,0.04510473203854193
hsa-mir-346,0.04509970158904481
hsa-mir-4750,0.04386726970335093
hsa-mir-3144,0.043845903505827025
hsa-mir-5694,0.043792414722326915
hsa-mir-4768,0.04291469587963148
hsa-mir-5588,0.04230574977495455
hsa-mir-105-1,0.042061098382262616
hsa-mir-4705,0.041548170070323166
hsa-mir-133a-1,0.041247084584621646
hsa-mir-636,0.039375424847205756
hsa-mir-1539,0.03469237433357712
hsa-mir-3612,0.03458207597611914
hsa-mir-6824,0.0314203098713506
hsa-mir-6857,0.03127478725165226
hsa-mir-6831,0.031172761268604254
hsa-mir-548am,0.029437534052411306
hsa-mir-6506,0.02922836391399593
hsa-mir-3138,0.02914998507552825
hsa-mir-376b,0.028981430475322218
hsa-mir-6846,0.02874807633068795
hsa-mir-219a-1,0.028345443531625634
hsa-mir-4470,0.028152130838418686
hsa-mir-599,0.02722018168454956
hsa-mir-641,0.02715598151548398
hsa-mir-3183,0.027082461885486738
hsa-mir-572,0.026850438101931055
hsa-mir-6765,0.025274634610316923
hsa-mir-6499,0.024380416170856574
hsa-mir-4674,0.023928163565026993
hsa-mir-1343,0.023242542306032978
hsa-mir-639,0.022991593784124943
hsa-mir-5197,0.021090745709971836
hsa-mir-5591,0.020677465951705
hsa-mir-5583-2,0.016833995174155552
hsa-mir-3619,0.015413729044049864
hsa-mir-3140,0.013742037816427266
hsa-mir-4504,0.013157511789554948
hsa-mir-3613,0.012858637055562814
hsa-mir-1265,0.01247200902258953
hsa-mir-3202-1,0.010516604542556198
hsa-mir-3174,0.009802914158880974
hsa-mir-6889,0.009269187267202241
hsa-mir-219a-2,0.007768109627999078
