miRNA,mean_expression
hsa-mir-409,43.24228648705882
hsa-mir-1287,42.63620312235294
hsa-mir-214,42.051072112941185
hsa-mir-187,41.26935088705883
hsa-mir-628,40.99511788235294
hsa-mir-7-1,40.95058748
hsa-mir-96,40.255481851764706
hsa-mir-133a-2,40.18136747058823
hsa-mir-331,39.767894345882354
hsa-mir-660,38.41546080941177
hsa-mir-653,37.001027202352944
hsa-mir-4662a,35.54831509882353
hsa-mir-330,35.35547481176471
hsa-mir-381,35.03314223058823
hsa-mir-497,34.45161225411765
hsa-mir-874,34.24801810823529
hsa-mir-19a,33.482700087058824
hsa-mir-652,32.66917675764706
hsa-mir-32,31.98139606823529
hsa-mir-769,31.946016167058826
hsa-mir-508,30.421818352941177
hsa-mir-340,30.191256317647056
hsa-mir-181d,29.437697865882352
hsa-mir-217,28.876219381176472
hsa-mir-345,28.056594254117645
hsa-mir-382,27.89655586117647
hsa-mir-130b,26.490949776470583
hsa-mir-654,26.218622969411765
hsa-mir-106a,24.400813536470586
hsa-mir-135b,23.936659910588236
hsa-mir-218-1,23.13507837647059
hsa-mir-758,22.45541313647059
hsa-mir-590,22.41119223294118
hsa-mir-33a,22.258991682352942
hsa-mir-190b,22.243691265882354
hsa-mir-363,22.108493359999997
hsa-mir-218-2,21.788183065882354
hsa-mir-301a,21.444708823529414
hsa-mir-450b,19.056057912941178
hsa-mir-133b,17.724937875294113
hsa-mir-1301,17.583094545882354
hsa-mir-503,17.551913
hsa-mir-598,17.434673574117646
hsa-mir-577,17.10793903529412
hsa-mir-105-2,16.820778767058826
hsa-mir-105-1,16.60443578588235
hsa-mir-3074,16.25732002352941
hsa-mir-576,16.183611371764705
hsa-mir-1266,15.204975185882352
hsa-mir-493,15.190343642352943
hsa-mir-889,14.686275395294116
hsa-mir-34c,14.35452876
hsa-mir-519a-1,14.170906807058824
hsa-mir-18a,14.049970750588237
hsa-mir-431,13.864058830588235
hsa-mir-1180,13.713421112941178
hsa-mir-362,13.110370854117647
hsa-mir-5683,13.08854899764706
hsa-mir-615,12.954951068235294
hsa-mir-3677,12.797464414117648
hsa-mir-3613,12.620140270588236
hsa-mir-3653,12.605895611764705
hsa-mir-483,12.442764355294116
hsa-mir-454,12.442488308235294
hsa-mir-1269b,12.27427040470588
hsa-mir-539,12.181708682352939
hsa-mir-410,11.989513127058824
hsa-mir-370,11.833480555294118
hsa-mir-369,11.60389282117647
hsa-mir-6510,11.134285080000001
hsa-mir-934,10.996738291764705
hsa-mir-326,10.93980960470588
hsa-mir-1306,10.86102648
hsa-mir-4677,10.797555317647056
hsa-mir-887,10.423212771764707
hsa-mir-511,10.375033729411765
hsa-mir-767,10.05363181882353
hsa-mir-766,9.961490661176471
