miRNA,mean_expression
hsa-mir-136,43.23775530107527
hsa-mir-20b,42.97180164157706
hsa-mir-1287,42.464857161290325
hsa-mir-7-1,41.960164075268814
hsa-mir-187,41.79100155197133
hsa-mir-628,41.69442656989247
hsa-mir-508,41.40536982795698
hsa-mir-214,41.33776022580645
hsa-mir-1247,40.691206218637994
hsa-mir-331,40.55466973835125
hsa-mir-96,40.088322849462365
hsa-mir-653,39.607113677419356
hsa-mir-660,37.77475982437276
hsa-mir-4662a,36.20140978853046
hsa-mir-19a,34.45599615770609
hsa-mir-652,34.3360666702509
hsa-mir-330,33.82112225089606
hsa-mir-32,33.51462678136201
hsa-mir-497,33.058667559139785
hsa-mir-874,32.92450877060932
hsa-mir-381,32.54533525806452
hsa-mir-769,32.39270784946237
hsa-mir-135b,30.310637727598568
hsa-mir-340,28.844208333333338
hsa-mir-345,28.697973397849463
hsa-mir-382,26.894244863799287
hsa-mir-130b,26.77670464874552
hsa-mir-133b,26.757239362007173
hsa-mir-181d,24.87808101075269
hsa-mir-106a,24.421189103942652
hsa-mir-654,24.247086810035846
hsa-mir-33a,23.84392654121864
hsa-mir-590,23.76905982795699
hsa-mir-218-1,22.63843277419355
hsa-mir-190b,22.059323372759856
hsa-mir-301a,21.639165448028677
hsa-mir-218-2,21.16461069892473
hsa-mir-217,21.131836799283153
hsa-mir-758,20.950826200716847
hsa-mir-363,19.167185369175627
hsa-mir-450b,19.06816341218638
hsa-mir-503,19.020215365591397
hsa-mir-598,17.97264541935484
hsa-mir-1301,17.85232577060932
hsa-mir-577,17.756321111111113
hsa-mir-576,16.80400966666667
hsa-mir-3074,16.755734451612902
hsa-mir-34c,16.473498810035842
hsa-mir-1266,15.010666999999998
hsa-mir-105-2,14.656000555555556
hsa-mir-18a,14.273901838709676
hsa-mir-105-1,14.235285670250894
hsa-mir-889,14.116725426523297
hsa-mir-493,14.004195598566309
hsa-mir-483,13.87746723297491
hsa-mir-431,13.531668010752687
hsa-mir-615,13.419500254480289
hsa-mir-3677,13.141522200716844
hsa-mir-362,12.819341318996415
hsa-mir-3613,12.81084835483871
hsa-mir-1180,12.73333311469534
hsa-mir-5683,12.643045397849463
hsa-mir-3653,12.636890845878137
hsa-mir-454,12.566162860215053
hsa-mir-934,12.064189129032258
hsa-mir-539,11.887151810035842
hsa-mir-370,11.332546118279572
hsa-mir-369,11.156111784946237
hsa-mir-6510,11.07429735125448
hsa-mir-326,11.071171265232975
hsa-mir-4677,10.992798250896056
hsa-mir-1306,10.944991738351256
hsa-mir-887,10.504616792114696
hsa-mir-511,10.331214896057348
hsa-mir-3127,10.193748250896057
hsa-mir-33b,10.175629731182797
hsa-mir-767,9.983987849462364
hsa-mir-1269b,9.88312599641577
hsa-mir-410,9.855283777777776
hsa-mir-766,9.558184193548387
hsa-mir-1976,9.140740222222222
hsa-mir-671,9.086674637992832
hsa-mir-502,9.00531588530466
hsa-mir-495,8.82748658064516
hsa-mir-4326,8.706264415770608
hsa-mir-432,8.23040941218638
hsa-mir-1468,8.099317738351255
hsa-mir-154,8.09288199641577
hsa-mir-31,7.680352709677419
hsa-mir-1296,7.600254186379928
hsa-mir-412,7.295969691756271
hsa-mir-411,7.0159324874551965
hsa-mir-942,6.6193544157706095
hsa-mir-296,6.524531
hsa-mir-449a,6.443509060931899
hsa-mir-215,6.442715974910395
hsa-mir-940,6.103575498207885
hsa-mir-509-3,5.813913376344087
hsa-mir-378c,5.796764129032258
hsa-mir-487b,5.726020136200717
hsa-mir-450a-2,5.595870261648745
hsa-mir-376c,5.578859874551972
hsa-mir-323b,5.575939218637993
hsa-mir-450a-1,5.540116548387097
hsa-mir-4668,5.5354040788530465
hsa-mir-664b,5.529952136200717
hsa-mir-642a,5.51798264516129
hsa-mir-3200,5.29706705376344
hsa-mir-204,5.271547236559139
hsa-mir-500b,5.210937813620072
hsa-mir-485,5.206985810035842
hsa-mir-4772,5.099715426523297
hsa-mir-592,4.85825153046595
hsa-mir-190a,4.748701537634409
hsa-mir-514a-2,4.624016974910393
hsa-mir-491,4.604184218637993
hsa-mir-323a,4.589547376344086
hsa-mir-212,4.5496280179211475
hsa-mir-509-1,4.537822867383514
