miRNA,mean_expression
hsa-mir-628,41.02728018160652
hsa-mir-136,40.585250656577415
hsa-mir-409,40.38775940395809
hsa-mir-96,39.95380502211874
hsa-mir-7-1,39.715695419091965
hsa-mir-331,38.87752643888242
hsa-mir-214,38.67363535389988
hsa-mir-4662a,37.435312112922006
hsa-mir-652,35.370703665890574
hsa-mir-19a,34.819881513387664
hsa-mir-660,34.440928953434224
hsa-mir-1-2,34.264511868451685
hsa-mir-330,34.18760387194412
hsa-mir-653,33.19670861117579
hsa-mir-874,32.63596301396973
hsa-mir-1-1,32.121893107101286
hsa-mir-381,31.798202073341095
hsa-mir-497,31.726828036088474
hsa-mir-769,31.309759998835855
hsa-mir-32,30.219758479627476
hsa-mir-135b,28.546409469150174
hsa-mir-345,28.497003827706635
hsa-mir-130b,28.277712746216533
hsa-mir-340,27.761016958090803
hsa-mir-181d,26.82579654947613
hsa-mir-382,25.86693078928987
hsa-mir-106a,25.444741415599534
hsa-mir-654,25.11908815250291
hsa-mir-133a-1,25.025204005820715
hsa-mir-33a,22.393080910360883
hsa-mir-218-1,21.891001499417925
hsa-mir-133a-2,21.76391998137369
hsa-mir-301a,21.460132982537832
hsa-mir-122,21.353807131548308
hsa-mir-590,21.239720054714788
hsa-mir-190b,21.110160401629802
hsa-mir-218-2,20.678601930151338
hsa-mir-758,20.502255171129224
hsa-mir-217,19.476765001164143
hsa-mir-363,19.22089973573923
hsa-mir-450b,19.17112905704308
hsa-mir-1301,17.72993216065192
hsa-mir-503,17.706193292200233
hsa-mir-105-2,17.26293607683353
hsa-mir-105-1,17.13125900814901
hsa-mir-598,16.546827526193248
hsa-mir-1266,16.51290718160652
hsa-mir-3074,16.43059686146682
hsa-mir-577,15.937541445867287
hsa-mir-34c,15.281548540162982
hsa-mir-576,15.060766190919674
hsa-mir-18a,14.999825349243308
hsa-mir-5683,14.904075940628637
hsa-mir-483,14.220302449359721
hsa-mir-493,14.009127045401629
hsa-mir-3677,13.784123315483122
hsa-mir-1180,13.594087902211873
hsa-mir-615,13.490325459837019
hsa-mir-889,13.347761953434226
hsa-mir-431,13.261620420256111
hsa-mir-767,13.045722073341093
hsa-mir-3613,12.336610257275902
hsa-mir-539,12.312304246798602
hsa-mir-1269b,12.229736832363214
hsa-mir-454,12.166694303841677
hsa-mir-449a,12.140782644935973
hsa-mir-326,12.0814878451688
hsa-mir-362,11.974699210710128
hsa-mir-3653,11.313598492433062
hsa-mir-370,11.170111452852153
hsa-mir-1306,10.9975375774156
hsa-mir-4677,10.845398161816066
hsa-mir-369,10.79536036670547
hsa-mir-887,10.55695892549476
hsa-mir-511,10.321580690337601
hsa-mir-410,9.928091922002329
hsa-mir-6510,9.912127805587893
hsa-mir-133b,9.753294103608848
hsa-mir-3127,9.686616658905704
hsa-mir-766,9.606575966239813
hsa-mir-33b,9.304669579743889
hsa-mir-1976,9.047645137369035
hsa-mir-671,9.016865633294529
hsa-mir-31,8.915372956926658
hsa-mir-495,8.887146424912688
hsa-mir-934,8.698432435389988
hsa-mir-4326,8.518717254947614
hsa-mir-502,8.357189067520373
hsa-mir-154,7.847893636786962
hsa-mir-1468,7.626033586728754
hsa-mir-432,7.595263282887077
hsa-mir-1296,7.433596266589058
hsa-mir-215,7.057008854481957
hsa-mir-411,6.91849250523865
hsa-mir-412,6.538700447031431
hsa-mir-296,6.350113761350407
hsa-mir-323b,6.166069358556461
hsa-mir-509-3,5.93448228637951
hsa-mir-942,5.921314557625146
hsa-mir-940,5.902913473806752
hsa-mir-378c,5.711934896391153
hsa-mir-376c,5.677326626309662
hsa-mir-204,5.66147549476135
hsa-mir-450a-1,5.600083151338766
hsa-mir-450a-2,5.5090017112922
hsa-mir-487b,5.500496285215366
hsa-mir-3200,5.430845698486612
hsa-mir-485,5.397535932479628
hsa-mir-642a,5.384294059371363
hsa-mir-664b,5.158338165308498
hsa-mir-323a,5.1503151373690335
hsa-mir-4668,4.905500613504074
hsa-mir-500b,4.8608873434225846
hsa-mir-4772,4.790351707799767
hsa-mir-190a,4.639159600698487
hsa-mir-3614,4.583737228172294
hsa-mir-514a-2,4.566570875436554
hsa-mir-592,4.562054443538999
hsa-mir-491,4.558381033760186
hsa-mir-4728,4.557391403958091
hsa-mir-514a-1,4.5110464982537835
hsa-mir-514a-3,4.482640254947613
hsa-mir-4661,4.44949331548312
hsa-mir-509-1,4.374976451688009
hsa-mir-509-2,4.299077094295693
hsa-mir-212,4.229049895227009
hsa-mir-935,4.158650284051222
hsa-mir-135a-2,4.1432262060535505
hsa-mir-937,4.134858577415599
hsa-mir-3605,4.091485688009313
hsa-mir-519a-1,3.976459982537835
hsa-mir-616,3.958305466821886
hsa-mir-3615,3.9284813480791616
hsa-mir-320b-2,3.9125151664726427
hsa-mir-299,3.870579220023283
hsa-mir-760,3.7408906845168803
hsa-mir-1271,3.7396995122235155
hsa-mir-5586,3.724896363213038
hsa-mir-95,3.6953278067520374
hsa-mir-211,3.5908726321303845
hsa-mir-135a-1,3.5705167008149012
hsa-mir-377,3.540117667054715
hsa-mir-129-2,3.3947948556461007
hsa-mir-891a,3.252373832363213
hsa-mir-1245a,3.24476238766007
hsa-mir-34b,3.208011812572759
hsa-mir-4746,3.1470363701979047
hsa-mir-885,3.0969901292200235
hsa-mir-188,3.088109671711292
hsa-mir-3150b,3.067251415599534
hsa-mir-6892,3.0175368032596044
hsa-mir-129-1,3.0055530500582073
hsa-mir-421,2.942197302677532
hsa-mir-1248,2.852024245634458
hsa-mir-651,2.845873523864959
hsa-mir-153-1,2.7292161559953434
hsa-mir-1270,2.7089152153667055
hsa-mir-655,2.6829175832363217
hsa-mir-496,2.623456335273574
hsa-mir-2110,2.5473711827706635
hsa-mir-550a-1,2.537740392316647
hsa-mir-219a-1,2.537309812572759
hsa-mir-550a-2,2.529743708963912
hsa-mir-320b-1,2.5116595075669386
hsa-mir-3170,2.474204845168801
hsa-mir-1251,2.4709986810244473
hsa-mir-1249,2.393608750873108
hsa-mir-3130-2,2.373090130384168
hsa-mir-3130-1,2.347492759022119
hsa-mir-3928,2.342068911525029
hsa-mir-551b,2.3332806926658907
hsa-mir-877,2.3145840908032596
hsa-mir-7706,2.2876721594877765
hsa-mir-944,2.2586037648428405
hsa-mir-449b,2.1907172095459835
hsa-mir-5000,2.163764279394645
hsa-mir-383,2.0883032188591386
hsa-mir-504,2.0710438277066356
hsa-mir-4724,2.0620728183934807
hsa-mir-151b,2.032745845168801
hsa-mir-301b,2.0032371618160654
hsa-mir-2115,1.9631926332945289
hsa-mir-494,1.90477561233993
hsa-mir-7702,1.8285310023282888
hsa-mir-526b,1.8177228172293363
hsa-mir-202,1.7998763166472642
hsa-mir-3913-2,1.7730125052386496
hsa-mir-3934,1.7671126519208382
hsa-mir-1224,1.761373845168801
hsa-mir-376b,1.7486439755529681
hsa-mir-1258,1.7457502945285217
hsa-mir-3913-1,1.742326792782305
hsa-mir-6511b-1,1.737606223515716
hsa-mir-487a,1.7231504656577414
hsa-mir-6511b-2,1.7029205040745055
hsa-mir-376a-1,1.6736653923166476
hsa-mir-659,1.6455520488940631
hsa-mir-6842,1.6290900547147844
hsa-mir-1226,1.6178602293364375
hsa-mir-4638,1.5844249953434226
hsa-mir-516a-1,1.549501464493597
hsa-mir-3651,1.4848256926658905
hsa-mir-548v,1.4740635122235157
hsa-mir-1277,1.456990846332945
hsa-mir-516a-2,1.4564190372526193
hsa-mir-627,1.4488063084982536
hsa-mir-433,1.4462111804423747
hsa-mir-3917,1.4124439569266587
hsa-mir-550a-3,1.4119577357392314
hsa-mir-543,1.4018024679860304
hsa-mir-939,1.3380214598370197
hsa-mir-1228,1.3192909173457508
hsa-mir-7156,1.3070851804423747
hsa-mir-548b,1.2847762607683353
hsa-mir-6837,1.264322690337602
hsa-mir-2277,1.2485240628637948
hsa-mir-5698,1.2390957287543658
hsa-mir-3940,1.225696178114086
hsa-mir-1295a,1.2256899359720606
hsa-mir-519a-2,1.2211622444703143
hsa-mir-4501,1.1982344889406287
hsa-mir-147b,1.1968467613504072
hsa-mir-7-2,1.1693996903376018
hsa-mir-3610,1.1470025250291036
hsa-mir-3664,1.1416709487776484
hsa-mir-2114,1.133962618160652
hsa-mir-6806,1.118686436554133
hsa-mir-6761,1.111774839348079
hsa-mir-7705,1.1091675157159486
hsa-mir-522,1.102224644935972
hsa-mir-4742,1.100993164144354
hsa-mir-374c,1.0966829522700814
hsa-mir-1304,1.0943235715948776
hsa-mir-624,1.0867496565774157
hsa-mir-7-3,1.0851842863795111
hsa-mir-4784,1.084813443538999
hsa-mir-3682,1.0732827159487777
hsa-mir-1291,1.0256199755529687
hsa-mir-1343,1.0143568055878929
hsa-mir-138-1,1.0078510849825377
hsa-mir-5694,0.9842381199068685
hsa-mir-3156-1,0.9801747275902212
hsa-mir-3926-2,0.9597860454016298
hsa-mir-449c,0.946883286379511
hsa-mir-6718,0.9302121594877765
hsa-mir-3199-2,0.9067280081490106
hsa-mir-3652,0.9064689161816066
hsa-mir-1229,0.8985096484284052
hsa-mir-556,0.8938840942956926
hsa-mir-6716,0.8880121664726426
hsa-mir-676,0.8847526903376018
hsa-mir-4461,0.8813602281722933
hsa-mir-4664,0.8770577625145519
hsa-mir-4449,0.864321625145518
hsa-mir-618,0.8581573527357392
hsa-mir-4709,0.8560182840512224
hsa-mir-6854,0.8559296204889405
hsa-mir-506,0.8364264167636787
hsa-mir-3156-2,0.8357888207217696
hsa-mir-489,0.8339853795110594
hsa-mir-656,0.8040744388824215
hsa-mir-1262,0.7906460698486613
hsa-mir-6720,0.7822869429569267
hsa-mir-3678,0.7797695285215367
hsa-mir-4521,0.7791071548311991
hsa-mir-3609,0.778773295692666
hsa-mir-5699,0.7775670081490105
hsa-mir-3912,0.7731961175785798
hsa-mir-6509,0.7665575552968568
hsa-mir-380,0.7555703573923167
hsa-mir-643,0.7432255762514552
hsa-mir-137,0.7342497380675204
hsa-mir-5684,0.7148198067520372
hsa-mir-579,0.7125786565774157
hsa-mir-3926-1,0.7103967939464493
hsa-mir-4444-2,0.7039083608847497
hsa-mir-4999,0.6938495424912688
hsa-mir-5010,0.6937320023282887
hsa-mir-3690-1,0.693091661233993
hsa-mir-541,0.6879298963911525
hsa-mir-376a-2,0.6858454155995344
hsa-mir-138-2,0.6789986984866124
hsa-mir-585,0.6719412502910361
hsa-mir-4786,0.6697346018626309
hsa-mir-520a,0.6638585308498255
hsa-mir-545,0.6569035133876601
hsa-mir-3662,0.6518037683352736
hsa-mir-2116,0.6502883725261932
hsa-mir-320c-1,0.6334927997671712
hsa-mir-4787,0.6314053236321305
hsa-mir-3922,0.6244991292200233
hsa-mir-6755,0.6233750104772992
hsa-mir-3156-3,0.6212146810244471
hsa-mir-18b,0.6201692817229336
hsa-mir-4473,0.615682760186263
hsa-mir-1288,0.6058442572759023
hsa-mir-3136,0.592452835855646
hsa-mir-320d-1,0.5911418509895227
hsa-mir-570,0.5853814016298021
hsa-mir-4714,0.5789915017462165
hsa-mir-6777,0.5757028847497089
hsa-mir-3117,0.5731887392316647
hsa-mir-6820,0.5695978952270081
hsa-mir-581,0.5550316391152502
hsa-mir-1292,0.5521066868451687
hsa-mir-4660,0.5468266449359721
hsa-mir-4652,0.5460611210710128
hsa-mir-4446,0.5438078428405122
hsa-mir-639,0.5437265203725262
hsa-mir-1254-2,0.5436456495925495
hsa-mir-665,0.541707335273574
hsa-mir-548e,0.5390291885913854
hsa-mir-3173,0.5367280023282887
hsa-mir-520b,0.5360322013969733
hsa-mir-518c,0.533060681024447
hsa-mir-517a,0.5330418160651921
hsa-mir-3129,0.5327288114086147
hsa-mir-517b,0.5321638311990687
hsa-mir-5001,0.5321263830034925
hsa-mir-4766,0.5292362060535507
hsa-mir-6802,0.5285538160651921
hsa-mir-320d-2,0.5276300628637952
hsa-mir-499a,0.5247063457508732
hsa-mir-4491,0.515612776484284
hsa-mir-1255a,0.5133073282887078
hsa-mir-1254-1,0.5015003981373689
hsa-mir-512-1,0.5006607450523866
hsa-mir-216a,0.49605437834691507
hsa-mir-605,0.49569660535506405
hsa-mir-3619,0.48663597555296856
hsa-mir-512-2,0.48575689057043075
hsa-mir-372,0.4834947415599534
hsa-mir-329-2,0.4832530186263097
hsa-mir-329-1,0.4811532025611176
hsa-mir-5003,0.4732285634458673
hsa-mir-551a,0.4708173853317812
hsa-mir-6733,0.4645425052386496
hsa-mir-518b,0.46403313504074506
hsa-mir-6516,0.46138373108265424
hsa-mir-5187,0.45782837951105937
hsa-mir-6715a,0.45188537019790453
hsa-mir-3187,0.4515160034924331
hsa-mir-3909,0.4460636088474971
hsa-mir-548s,0.4412880419091967
hsa-mir-3923,0.4348148894062864
hsa-mir-4444-1,0.42679198603026774
hsa-mir-6808,0.42599727823050054
hsa-mir-6501,0.42265771594877766
hsa-mir-3064,0.4212315552968568
hsa-mir-6499,0.4180905715948778
hsa-mir-6514,0.41448846682188584
hsa-mir-219b,0.4141358521536671
hsa-mir-1910,0.4114271688009313
hsa-mir-4791,0.410719545983702
hsa-mir-4732,0.4097286484284051
hsa-mir-6798,0.40938385913853326
hsa-mir-1284,0.40263797904540166
hsa-mir-580,0.40196702677532015
hsa-mir-4636,0.4017942142025611
hsa-mir-320c-2,0.4010619778812573
hsa-mir-6503,0.3999301897555297
hsa-mir-5691,0.3984328125727591
hsa-mir-3191,0.39557479394644934
hsa-mir-1275,0.3821885960419092
hsa-mir-3941,0.38163830500582074
hsa-mir-518e,0.3809502142025611
hsa-mir-5695,0.3790331105937136
hsa-mir-6502,0.37541761117578576
hsa-mir-3190,0.374672621653085
hsa-mir-518f,0.37263772526193245
hsa-mir-6783,0.3699167648428405
hsa-mir-548aw,0.36560427939464496
hsa-mir-4443,0.35884396274738073
hsa-mir-632,0.35779982770663565
hsa-mir-636,0.3569413806752037
hsa-mir-552,0.35535509196740395
hsa-mir-6874,0.34571681257275905
hsa-mir-4640,0.3455881455180443
hsa-mir-548f-1,0.345454996507567
hsa-mir-4423,0.34494639697322466
hsa-mir-548j,0.33827897788125727
hsa-mir-7112,0.334520227008149
hsa-mir-5706,0.33402951338766007
hsa-mir-6877,0.33337204540162985
hsa-mir-4726,0.3325987951105937
hsa-mir-3157,0.32667313154831196
hsa-mir-1295b,0.32505722351571603
hsa-mir-6815,0.3243751606519209
hsa-mir-4680,0.32336759022118744
hsa-mir-124-1,0.3226603562281723
hsa-mir-4781,0.3204739545983702
hsa-mir-4665,0.31772638416763677
hsa-mir-7854,0.31648620954598367
hsa-mir-124-3,0.31629147497089644
hsa-mir-124-2,0.3128030174621653
hsa-mir-548o-2,0.3106227811408615
hsa-mir-5581,0.3076956507566938
hsa-mir-6875,0.3067033084982538
hsa-mir-4758,0.30554110011641444
hsa-mir-525,0.3054406006984866
hsa-mir-548au,0.30458991268917346
hsa-mir-4707,0.303929147846333
hsa-mir-1185-1,0.3026915017462165
hsa-mir-4645,0.3005585622817229
hsa-mir-3199-1,0.30014835389988365
hsa-mir-4763,0.2986300803259604
hsa-mir-548o,0.296232
hsa-mir-4442,0.2950929324796275
