miRNA,mean_expression
hsa-mir-136,42.179624169724775
hsa-mir-1287,41.698828050458715
hsa-mir-7-1,40.619798
hsa-mir-628,40.46068942201835
hsa-mir-214,40.107154802752284
hsa-mir-96,39.27778769036697
hsa-mir-133a-2,39.01483501605505
hsa-mir-20b,38.40125721559634
hsa-mir-660,37.804680605504586
hsa-mir-331,37.79407477981652
hsa-mir-4662a,35.797429153669725
hsa-mir-330,34.700572059633025
hsa-mir-653,34.18852843119266
hsa-mir-19a,33.56938277752293
hsa-mir-652,32.90703579128441
hsa-mir-874,32.30539662155964
hsa-mir-497,32.01003622247706
hsa-mir-381,31.917267075688077
hsa-mir-769,31.118679059633028
hsa-mir-32,31.116783396788993
hsa-mir-508,30.999109254587154
hsa-mir-217,29.652211348623855
hsa-mir-340,28.735350626146793
hsa-mir-181d,26.91321250917431
hsa-mir-382,26.567736256880735
hsa-mir-130b,26.19630343348624
hsa-mir-345,25.485569318807343
hsa-mir-135b,25.105124892201832
hsa-mir-654,23.691032211009176
hsa-mir-590,22.671717438073394
hsa-mir-106a,22.45459654357798
hsa-mir-33a,22.10513478669725
hsa-mir-218-1,21.78464086238532
hsa-mir-301a,20.941874288990824
hsa-mir-758,20.771102270642203
hsa-mir-190b,20.458579928899084
hsa-mir-218-2,20.317271061926604
hsa-mir-503,18.720993302752294
hsa-mir-450b,18.599493004587156
hsa-mir-34c,17.892628256880734
hsa-mir-363,17.851698098623853
hsa-mir-577,17.83890986238532
hsa-mir-1301,17.800818261467892
hsa-mir-133b,17.26239751146789
hsa-mir-1266,16.453051204128442
hsa-mir-598,16.29681719495413
hsa-mir-3074,16.209065383027525
hsa-mir-576,15.525452300458719
hsa-mir-431,15.321556800458715
hsa-mir-105-2,14.591052633027521
hsa-mir-493,14.263259417431193
hsa-mir-105-1,14.138429302752291
hsa-mir-5683,14.130230766055044
hsa-mir-18a,13.929762116972476
hsa-mir-889,13.83328450917431
hsa-mir-3677,13.1386226353211
hsa-mir-362,12.897482667431193
hsa-mir-1180,12.859826144495413
hsa-mir-3613,12.186829871559633
hsa-mir-454,12.048303366972476
hsa-mir-539,11.951432699541282
hsa-mir-615,11.945408291284403
