Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage IV,DeepLearning,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top15,majority,LR,1,0.0,0.821,0.4,0.845,0.629,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top5,majority,LR,1,0.0,0.821,0.4,0.845,0.629,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top10,majority,LR,6,0.0,0.854,0.533,0.872,0.752,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top15,majority,LR,6,0.0,0.854,0.533,0.872,0.752,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top5,majority,LR,3,0.0,0.846,0.6,0.86,0.767,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Clustering,,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_IV_intersection.csv,empty_list
Stage IV,Clustering,,majority,RF,89,0.0,0.946,0.0,1.0,0.544,stagewise_consensus\Consensus_Clustering_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top10,majority,RF,1,0.0,0.929,0.067,0.977,0.296,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top15,majority,RF,1,0.0,0.929,0.067,0.977,0.296,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top5,majority,RF,1,0.0,0.929,0.067,0.977,0.296,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top10,majority,RF,6,0.0,0.932,0.067,0.981,0.522,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top15,majority,RF,6,0.0,0.932,0.067,0.981,0.415,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top5,majority,RF,3,0.0,0.929,0.067,0.977,0.493,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Clustering,,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_IV_intersection.csv,empty_list
Stage IV,Clustering,,majority,SVM-linear,89,0.0,0.829,0.267,0.86,0.286,stagewise_consensus\Consensus_Clustering_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top10,majority,SVM-linear,1,0.0,0.875,0.333,0.906,0.658,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top15,majority,SVM-linear,1,0.0,0.875,0.333,0.906,0.658,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top5,majority,SVM-linear,1,0.0,0.875,0.333,0.906,0.658,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top10,majority,SVM-linear,6,0.0,0.861,0.533,0.879,0.737,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top15,majority,SVM-linear,6,0.0,0.861,0.533,0.879,0.737,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top5,majority,SVM-linear,3,0.0,0.854,0.533,0.872,0.756,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_majority.csv,ok_cv5_low_n
