Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage I,Traditional,top10,majority,RF,6,0.0,0.545,0.365,0.662,0.524,stagewise_consensus\Consensus_Traditional_top10_Stage_I_majority.csv,ok
Stage I,Traditional,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top15,majority,RF,8,0.0,0.53,0.385,0.625,0.524,stagewise_consensus\Consensus_Traditional_top15_Stage_I_majority.csv,ok
Stage I,Traditional,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top5,majority,RF,4,0.0,0.538,0.385,0.638,0.536,stagewise_consensus\Consensus_Traditional_top5_Stage_I_majority.csv,ok
Stage I,Clustering,,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_I_intersection.csv,empty_list
Stage I,Clustering,,majority,SVM-linear,594,0.0,0.515,0.346,0.625,0.453,stagewise_consensus\Consensus_Clustering_Stage_I_majority.csv,ok
Stage I,DeepLearning,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top10,majority,SVM-linear,1,0.0,0.402,0.923,0.062,0.51,stagewise_consensus\Consensus_DeepLearning_top10_Stage_I_majority.csv,ok
Stage I,DeepLearning,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top15,majority,SVM-linear,2,0.0,0.386,0.865,0.075,0.525,stagewise_consensus\Consensus_DeepLearning_top15_Stage_I_majority.csv,ok
Stage I,DeepLearning,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_I_intersection.csv,empty_list
Stage I,DeepLearning,top5,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_I_majority.csv,empty_list
Stage I,Traditional,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top10,majority,SVM-linear,6,0.0,0.553,0.5,0.588,0.545,stagewise_consensus\Consensus_Traditional_top10_Stage_I_majority.csv,ok
Stage I,Traditional,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top15,majority,SVM-linear,8,0.0,0.523,0.481,0.55,0.535,stagewise_consensus\Consensus_Traditional_top15_Stage_I_majority.csv,ok
Stage I,Traditional,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_I_intersection.csv,empty_list
Stage I,Traditional,top5,majority,SVM-linear,4,0.0,0.614,0.404,0.75,0.538,stagewise_consensus\Consensus_Traditional_top5_Stage_I_majority.csv,ok
Stage II,Clustering,,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_II_intersection.csv,empty_list
Stage II,Clustering,,majority,KNN,98,0.0,0.636,0.831,0.2,0.558,stagewise_consensus\Consensus_Clustering_Stage_II_majority.csv,ok
Stage II,DeepLearning,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top10,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_majority.csv,empty_list
Stage II,DeepLearning,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top15,majority,KNN,1,0.0,0.663,0.921,0.088,0.544,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_majority.csv,ok
Stage II,DeepLearning,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top5,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_majority.csv,empty_list
Stage II,Traditional,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top10,majority,KNN,6,0.0,0.609,0.82,0.138,0.482,stagewise_consensus\Consensus_Traditional_top10_Stage_II_majority.csv,ok
Stage II,Traditional,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top15,majority,KNN,9,0.0,0.628,0.843,0.15,0.45,stagewise_consensus\Consensus_Traditional_top15_Stage_II_majority.csv,ok
Stage II,Traditional,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top5,majority,KNN,3,0.0,0.62,0.86,0.088,0.437,stagewise_consensus\Consensus_Traditional_top5_Stage_II_majority.csv,ok
Stage II,Clustering,,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_II_intersection.csv,empty_list
Stage II,Clustering,,majority,LR,98,0.0,0.554,0.59,0.475,0.55,stagewise_consensus\Consensus_Clustering_Stage_II_majority.csv,ok
Stage II,DeepLearning,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top10,majority,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_majority.csv,empty_list
Stage II,DeepLearning,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top15,majority,LR,1,0.0,0.585,0.685,0.362,0.516,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_majority.csv,ok
Stage II,DeepLearning,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top5,majority,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_majority.csv,empty_list
Stage II,Traditional,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top10,majority,LR,6,0.0,0.562,0.68,0.3,0.518,stagewise_consensus\Consensus_Traditional_top10_Stage_II_majority.csv,ok
Stage II,Traditional,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top15,majority,LR,9,0.0,0.55,0.657,0.312,0.524,stagewise_consensus\Consensus_Traditional_top15_Stage_II_majority.csv,ok
Stage II,Traditional,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top5,majority,LR,3,0.0,0.597,0.742,0.275,0.53,stagewise_consensus\Consensus_Traditional_top5_Stage_II_majority.csv,ok
Stage II,Clustering,,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_II_intersection.csv,empty_list
Stage II,Clustering,,majority,RF,98,0.0,0.674,0.978,0.0,0.489,stagewise_consensus\Consensus_Clustering_Stage_II_majority.csv,ok
Stage II,DeepLearning,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top10,majority,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_majority.csv,empty_list
Stage II,DeepLearning,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top15,majority,RF,1,0.0,0.407,0.264,0.725,0.514,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_majority.csv,ok
Stage II,DeepLearning,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top5,majority,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_majority.csv,empty_list
